ID,Amount
10036615,4128.375
10036531,4128.375
10039697,4128.375
10036935,4128.375
10037660,4128.375
10017510,4281.916667
10039953,4281.916667
10019400,4281.916667
10037121,4281.916667
10036173,4281.916667
10033095,4281.916667
10037656,4369.916667
10037242,4369.916667
10031807,4369.916667
10038430,4369.916667
10036138,4369.916667
10040054,3801.333333
10037958,3801.333333
10040208,3801.333333
10038726,3801.333333
10038606,3801.333333
10039283,3801.333333
10039605,3801.333333
10039608,3895.958333
10038652,3895.958333
10040071,3895.958333
10040072,3895.958333
10039726,3895.958333
10038603,3895.958333
10040170,3895.958333
10040327,3895.958333
10040713,3895.958333
10040384,3895.958333
10040621,3895.958333
10038034,3992.5
10033100,1236.833333
10038421,3992.5
10039772,3992.5
10040109,3992.5
10038747,3992.5
10039502,3992.5
10039275,3992.5
10039800,3992.5
10036191,3992.5
10030174,3992.5
10039609,3992.5
10037740,3992.5
10040053,3992.5
10038968,1269.25
10040060,4093.833333
10038418,4093.833333
10031044,4093.833333
10037785,4093.833333
10036306,4093.833333
10039642,4093.833333
10039618,4093.833333
10034228,4093.833333
10037741,4093.833333
10040124,4093.833333
10040675,4093.833333
10035357,4772.666667
10039919,4772.666667
10039831,4772.666667
10035815,4772.666667
10039255,4772.666667
10038463,4772.666667
10037700,4772.666667
10038306,4772.666667
10039654,4772.666667
10037718,4772.666667
10036146,5004.875
10034953,5004.875
10032201,5004.875
10037705,5004.875
10036434,5004.875
10036607,5004.875
10033687,5004.875
10039688,5004.875
10035620,5004.875
10030082,5004.875
10036926,2192.583333
10035146,5150.375
10038852,5150.375
10036611,5150.375
10016066,5150.375
10037675,5150.375
10038304,5150.375
10036953,5150.375
10036206,5150.375
10014364,5150.375
10035366,5150.375
10039069,5150.375
10036297,5299.75
10036298,5299.75
10016144,5299.75
10033100,4485.666667
10040498,4485.666667
10038001,4485.666667
10039089,4485.666667
10040171,4485.666667
10040248,4485.666667
10040391,4485.666667
10039916,4485.666667
10039477,4485.666667
10038932,4485.666667
10039481,4485.666667
10039353,4632.541667
10039632,4632.541667
10039469,4632.541667
10037063,4632.541667
10036504,4632.541667
10039434,4632.541667
10039431,4632.541667
10039983,4632.541667
10036990,4632.541667
10040424,4632.541667
10037912,4632.541667
10040292,4632.541667
10036333,4632.541667
10039513,4632.541667
10036872,4757.666667
10039470,4757.666667
10038906,4757.666667
10035555,4757.666667
10036849,4757.666667
10039887,4757.666667
10037822,4757.666667
10039250,4757.666667
10038005,4757.666667
10033850,4757.666667
10035562,4757.666667
10038373,4878.125
10037640,4878.125
10040264,4878.125
10039957,4878.125
10036729,4878.125
10033929,4878.125
10039074,5758.083333
10032527,5758.083333
10037683,5758.083333
10035838,5758.083333
10019386,5758.083333
10039645,5758.083333
10016363,5758.083333
10037012,6175.125
10036217,6175.125
10037348,6175.125
10035650,6175.125
10037736,6175.125
10018826,6175.125
10031169,6175.125
10016814,6175.125
10040084,6175.125
10036971,6175.125
10039189,6175.125
10032936,6175.125
10036469,6175.125
10032733,6175.125
10031237,6375.166667
10035663,6375.166667
10018002,6375.166667
10010537,6375.166667
10037840,6375.166667
10016126,6375.166667
10040325,6567.166667
